timestamp,cpu_percent,mem_percent,io_read_kbps,io_write_kbps,process_count,syscall_rate_per_sec
1775488314.7933936,1.6,69.1,0.0,0.0,0.0,0.0
1775488319.7933936,0.9,69.3,0.0,0.0,0.0,4.2
1775488324.7933936,0.6,72.7,0.0,0.0,0.0,3.4
1775488329.7933936,0.9,72.9,0.0,0.0,0.0,3.4
1775488334.7933936,3.8,72.4,0.0,0.0,0.0,3.4
1775488339.7933936,1.6,72.5,0.0,0.0,0.0,3.4
1775488344.7933936,2.8,72.3,0.0,0.0,0.0,3.4
1775488349.7933936,14.2,72.8,0.0,0.0,0.0,3.4
1775488354.7933936,2.5,72.7,0.0,0.0,0.0,3.4
1775488359.7933936,3.1,73.1,0.0,0.0,0.0,3.4
1775488364.7933936,1.3,73.0,0.0,0.0,0.0,3.4
1775488369.7933936,0.6,73.0,0.0,0.0,0.0,3.4
1775488374.7933936,0.6,72.6,0.0,0.0,0.0,3.4
1775488379.7933936,1.9,73.5,0.0,0.0,0.0,3.6
1775488384.7933936,27.2,74.8,0.0,0.0,0.0,3.4
1775488389.7933936,27.5,76.3,0.0,0.0,0.0,3.6
1775488394.7933936,6.6,77.0,0.0,0.0,0.0,3.4
1775488399.7933936,4.7,77.0,0.0,0.0,0.0,3.4
1775488404.7933936,1.6,77.2,0.0,0.0,0.0,3.4
1775488409.7933936,2.8,76.9,0.0,0.0,0.0,3.4
1775488414.7933936,0.0,77.2,0.0,0.0,0.0,3.4
1775488419.7933936,3.2,77.5,0.0,0.0,0.0,9.4
1775488424.7933936,0.9,76.4,0.0,0.0,0.0,3.4
1775488429.7933936,3.5,76.5,0.0,0.0,0.0,3.4
1775488434.7933936,9.4,75.7,0.0,0.0,0.0,3.4
1775488439.7933936,21.5,77.2,0.0,0.0,0.0,5.6
1775488444.7933936,17.5,77.2,0.0,0.0,0.0,3.4
1775488449.7933936,2.2,75.1,0.0,0.0,0.0,3.4
1775488454.7933936,2.2,75.0,0.0,0.0,0.0,3.6
1775488459.7933936,2.5,74.8,0.0,0.0,0.0,3.6
1775488464.7933936,17.4,74.3,0.0,0.0,0.0,3.4
1775488469.7933936,16.0,76.1,0.0,0.0,0.0,3.4
1775488474.7933936,20.8,76.7,0.0,0.0,0.0,3.6
1775488479.7933936,6.0,76.7,0.0,0.0,0.0,3.4
1775488484.7933936,1.9,76.8,0.0,0.0,0.0,3.4
1775488489.7933936,9.5,76.0,0.0,0.0,0.0,3.4
1775488494.7933936,15.5,75.8,0.0,0.0,0.0,3.4
1775488499.7933936,33.9,81.2,0.0,0.0,0.0,3.6
1775488504.7933936,2.5,81.3,0.0,0.0,0.0,3.4
1775488509.7933936,1.9,81.0,0.0,0.0,0.0,3.4
1775488514.7933936,2.2,80.8,0.0,0.0,0.0,3.4
1775488519.7933936,2.9,80.8,0.0,0.0,0.0,3.4
1775488524.7933936,0.9,80.8,0.0,0.0,0.0,3.4
1775488529.7933936,4.8,80.3,0.0,0.0,0.0,3.4
1775488534.7933936,2.2,80.4,0.0,0.0,0.0,3.4
1775488539.7933936,3.8,80.6,0.0,0.0,0.0,3.4
1775488544.7933936,2.5,81.0,0.0,0.0,0.0,3.4
1775488549.7933936,4.7,80.0,0.0,0.0,0.0,3.4
1775488554.7933936,3.8,80.3,0.0,0.0,0.0,3.4
1775488559.7933936,9.2,80.5,0.0,0.0,0.0,3.6
1775488564.7933936,4.4,80.7,0.0,0.0,0.0,3.4
1775488569.7933936,2.8,80.2,0.0,0.0,0.0,3.4
1775488574.7933936,7.7,79.2,0.0,0.0,0.0,3.4
1775488579.7933936,3.5,79.0,0.0,0.0,0.0,3.4
1775488584.7933936,2.5,78.9,0.0,0.0,0.0,3.4
1775488589.7933936,3.8,79.1,0.0,0.0,0.0,3.4
1775488594.7933936,3.8,78.6,0.0,0.0,0.0,3.4
1775488599.7933936,1.9,79.2,0.0,0.0,0.0,3.4
1775488604.7933936,6.6,79.2,0.0,0.0,0.0,3.4
1775488609.7933936,3.8,79.1,0.0,0.0,0.0,3.4
1775488614.7933936,6.9,78.9,0.0,0.0,0.0,3.4
1775488619.7933936,2.2,78.6,0.0,0.0,0.0,3.4
1775488624.7933936,1.6,77.7,0.0,0.0,0.0,3.4
1775488629.7933936,1.6,77.5,0.0,0.0,0.0,3.4
1775488634.7933936,2.2,77.8,0.0,0.0,0.0,3.4
1775488639.7933936,12.9,78.6,0.0,0.0,0.0,3.4
1775488644.7933936,1.2,77.6,0.0,0.0,0.0,3.4
1775488649.7933936,3.5,77.6,0.0,0.0,0.0,3.4
1775488654.7933936,4.4,77.4,0.0,0.0,0.0,3.4
1775488659.7933936,3.8,77.5,0.0,0.0,0.0,3.4
1775488664.7933936,0.9,77.4,0.0,0.0,0.0,3.4
1775488669.7933936,1.9,76.5,0.0,0.0,0.0,3.4
1775488674.7933936,6.7,76.5,0.0,0.0,0.0,3.4
1775488679.7933936,2.5,76.3,0.0,0.0,0.0,3.4
1775488684.7933936,3.2,76.4,0.0,0.0,0.0,3.4
1775488689.7933936,0.6,75.9,0.0,0.0,0.0,3.4
1775488694.7933936,4.1,75.9,0.0,0.0,0.0,3.4
1775488699.7933936,8.3,75.9,0.0,0.0,0.0,3.4
1775488704.7933936,14.0,77.7,0.0,0.0,0.0,3.4
1775488709.7933936,52.7,84.3,0.0,0.0,0.0,3.6
1775488714.7933936,0.6,86.5,0.0,0.0,0.0,3.4
